,Unnamed: 0.1,Unnamed: 0,Question,Answer,keywords,count
30,30,30,Q[주문확인] 주문 내역을 삭제했는데 교환/반품을 어떻게 하나요?,마이쿠팡에서 주문 내역을 삭제했는데 교환/반품을 원하시는 경우 주문자께서 쿠팡 고객센터(1577-7011)로 직접 연락 주시기 바랍니다. 고객센터에서 주문 내역을 확인한 후 처리해 드리도록 하겠습니다.,CANCEL,0
31,31,31,Q[선물하기] 선물하기 상품의 주문 취소는 어떻게 해야 하나요?,"선물을 받는 사람(수취인)이 아직 선물을 수락하지 않았다면 일반 상품과 동일하게 마이쿠팡에서 직접 주문을 취소할 수 있습니다. 또는 선물을 받는 사람(수취인)이 선물을 거절하거나 선물 수락 기한까지 수락하지 않는다면 주문은 자동으로 취소됩니다. 그러나 선물을 받는 사람(수취인)이 이미 선물을 수락하여 배송이 시작됐다면 배송 완료 이후에 반품해 주시기 바랍니다. 이 경우 반품 비용이 발생할 수 있습니다. 
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 클릭
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 반품하기 
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청] 클릭
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 만약 주문자가 아닌 선물을 받는 사람(수취인)이 취소를 원하면 수신한 선물메시지에서 [선물 거절하기]를 클릭해 주세요. 그리고 배송 완료 이후 선물을 받은 사람(수취인)이 교환/반품을 신청하려면 쿠팡 고객센터(1577-7011)로 문의해 주시기 바랍니다.",CANCEL,0
32,32,32,Q[회수] 교환/반품 회수지를 변경하고 싶습니다.,"교환/반품 신청 후
교환/반품 신청을 완료한 후에는 회수지 변경이 불가합니다. 단 교환/반품이 아직 진행되지 않았다면 먼저 교환/반품 신청을 철회해 주세요. 그다음 교환/반품을 다시 신청하면서 회수지를 변경하면 됩니다.  
 ※ 교환/반품 철회하기
마이쿠팡 → 취소/반품/교환/환불내역 → 상품선택 → [반품 상세] → [반품 철회]
 교환/반품 신청 전
마이쿠팡에서 교환/반품을 신청할 때 상품 회수지를 직접 변경할 수 있습니다.",CANCEL,0
33,33,33,Q[반품] 반품한 상품의 회수현황은 어디서 확인할 수 있나요?,"아래의 경로를 통해 반품 회수 현황을 확인할 수 있습니다.
 반품 회수 현황 확인하기
• 마이쿠팡 → 취소/반품/교환/환불내역 → 상품선택 → [반품상세] 
• 단 판매자 배송 상품 등 일부는 모바일 앱에서만 확인이 가능합니다.",CANCEL,0
34,34,34,Q[교환] 주문과 다른 상품 또는 불량 상품을 받아 교환하고 싶어요.,"주문과 다른 상품을 받았거나 품질에 문제가 있는 상품이라면 마이쿠팡 또는 판매자 문의를 통해서 쉽고 빠르게 교환 또는 반품을 신청할 수 있습니다. 아래의 경로에서 교환/반품을 신청해 주시기 바랍니다. 
 교환/반품 신청하기
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청] 선택
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 판매자 정보 확인하기 (클릭)
 회수/배송/비용 안내 (클릭)
 교환/반품 가능 기간 (클릭)",CANCEL,0
35,35,35,Q[교환] 교환 접수를 취소(철회)하고 싶어요.,"마이쿠팡을 통해 직접 교환 접수를 철회할 수 있습니다.
 교환 철회하기
마이쿠팡 → 취소∙반품∙교환목록 → 상품선택 → [교환취소] 
 단 이미 교환 절차가 진행되어 마이쿠팡에서 교환접수의 취소가 불가한 경우 판매자에게 문의하여 철회 가능 여부를 확인해 주시기 바랍니다.",CANCEL,0
36,36,36,Q[판매자] 판매자 정보는 어디서 확인하나요?,"[상품 상세페이지] 내 [배송/교환/반품/판매자 안내]에서 판매자 정보와 연락처를 확인할 수 있습니다.
 로켓배송 로켓프레시 로켓직구 로켓모바일 상품은 쿠팡이 판매자이므로 문의사항이 있는 경우 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다. 
 판매자 배송 상품은 각 판매자가 다르며 문의사항이 있는 경우 아래의 경로를 통해서도 각 판매자에게 직접 문의할 수 있습니다. 판매자 배송 상품일 경우에만 마이쿠팡 주문목록에서 [판매자 문의] 메뉴가 노출됩니다. 
 • 마이쿠팡 → 주문목록 → 상품선택 → [‘판매자명’에 문의하기]
 ※ 교환/반품 신청은 마이쿠팡을 통해 고객님께서도 직접 할 수 있습니다.
 교환/반품 신청하기
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청] 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.",CANCEL,0
37,37,37,Q[교환] 교환 접수 후 회수와 새 상품 배송은 어떻게 진행되나요?,"교환을 접수하면 해당 상품을 회수한 후 새 상품이 배송됩니다. 로켓배송의 경우 간혹 회수보다 새 상품이 먼저 배송되는 경우도 있으나 이후 교환 접수한 상품을 회수해가니 안심하시고 기다려 주시기 바랍니다. 또한 상품의 유형에 따라 회수 및 새 상품 배송 기간은 각기 다릅니다. 아래의 경로를 통해 본인 상품의 교환 현황을 확인해 주시기 바랍니다. 
 교환 현황 확인하기 
마이쿠팡 → 취소∙반품∙교환목록 → 상품선택 → [교환상세보기]
이후 진행 상황에 따라 [회수 조회] 또는 [교환 배송조회] 선택
 ※ 만약 마이쿠팡에 안내된 회수 예정일 및 택배기사가 약속한 회수 예정일에 상품이 회수되지 않거나 장기간 상품이 회수되지 않는 경우엔 쿠팡 고객센터 또는 해당 택배사로 문의해 주시기 바랍니다.
 교환 시 회수/배송 예상 기간 (클릭)",CANCEL,0
38,38,38,Q[교환] 교환을 위해 상품을 반송했는데 새 상품이 오지 않아요.,"반송한 상품이 판매자에게 도착한 후 새 상품이 발송됩니다. 반송한 상품이 판매자에게 도착하지 않은 경우에는 교환이 지연될 수 있습니다. 아래의 경로를 통해 회수 현황을 확인해 주시기 바랍니다.
 회수 현황 확인하기
• 마이쿠팡 → 취소/반품/교환/환불내역 → 상품선택 → [반품상세] 
• 단 판매자 배송 상품 등 일부는 모바일 앱에서만 확인이 가능합니다.",CANCEL,0
39,39,39,Q[배송지] 교환 신청 시 새 상품을 받을 배송지를 변경할 수 있나요?,네 마이쿠팡에서 교환 신청 시 회수지와 배송지 주소를 다르게 정할 수 있습니다.,CANCEL,0
